Index,TIMESTAMP,BID_PRICE,BID_SIZE,ASK_PRICE,ASK_SIZE
0,2014-01-02 00:45:01.020274,0.0,3.0,233.98,1.0
1,2014-01-02 00:45:01.520217,0.0,4.0,0.0,3.0
2,2014-01-02 00:45:02.020301,0.0,4.0,0.0,4.0
3,2014-01-02 01:08:22.692413,0.0,4.0,0.0,3.0
4,2014-01-02 01:09:24.700202,0.0,1.0,0.0,3.0
5,2014-01-02 01:09:25.200292,0.0,1.0,233.98,2.0
6,2014-01-02 01:10:12.206330,232.55,1.0,233.98,2.0
7,2014-01-02 01:10:57.712263,232.31,1.0,233.98,2.0
8,2014-01-02 01:15:00.241778,232.31,1.0,233.64,3.0
9,2014-01-02 01:15:00.742388,233.45,2.0,233.63,1.0
10,2014-01-02 01:15:01.242507,233.48,1.0,233.67,4.0
11,2014-01-02 01:15:01.742524,233.57,1.0,233.67,4.0
12,2014-01-02 01:15:02.242629,233.52,1.0,233.57,1.0
13,2014-01-02 01:15:02.742558,233.53,1.0,233.65,1.0
14,2014-01-02 01:15:03.242778,233.52,1.0,233.6,1.0
15,2014-01-02 01:15:03.742875,233.44,1.0,233.48,20.0
16,2014-01-02 01:15:04.242912,233.42,1.0,233.48,10.0
17,2014-01-02 01:15:04.740749,233.36,2.0,233.43,1.0
18,2014-01-02 01:15:05.243498,233.31,1.0,233.38,1.0
19,2014-01-02 01:15:05.743456,233.26,1.0,233.38,1.0
20,2014-01-02 01:15:06.243640,233.3,1.0,233.35,1.0
21,2014-01-02 01:15:06.739411,233.29,14.0,233.36,4.0
22,2014-01-02 01:15:07.243747,233.29,13.0,233.35,4.0
23,2014-01-02 01:15:07.744599,233.29,13.0,233.34,1.0
24,2014-01-02 01:15:08.243977,233.29,12.0,233.33,1.0
25,2014-01-02 01:15:08.744003,233.26,2.0,233.32,1.0
26,2014-01-02 01:15:09.243776,233.16,11.0,233.29,2.0
27,2014-01-02 01:15:09.744417,233.18,3.0,233.29,3.0
28,2014-01-02 01:15:10.244499,233.18,1.0,233.23,1.0
29,2014-01-02 01:15:10.744528,233.16,9.0,233.21,1.0
30,2014-01-02 01:15:11.244529,233.18,1.0,233.24,5.0
31,2014-01-02 01:15:11.744626,233.18,2.0,233.24,4.0
32,2014-01-02 01:15:12.240567,233.19,1.0,233.24,6.0
33,2014-01-02 01:15:12.744622,233.18,1.0,233.23,1.0
34,2014-01-02 01:15:13.245042,233.16,9.0,233.22,1.0
35,2014-01-02 01:15:13.745057,233.16,3.0,233.24,1.0
36,2014-01-02 01:15:14.245115,233.17,1.0,233.22,1.0
37,2014-01-02 01:15:14.741253,233.19,2.0,233.23,1.0
38,2014-01-02 01:15:15.245453,233.2,3.0,233.28,4.0
39,2014-01-02 01:15:15.745516,233.22,1.0,233.28,2.0
40,2014-01-02 01:15:16.245597,233.17,3.0,233.25,4.0
41,2014-01-02 01:15:16.745684,233.21,1.0,233.27,1.0
42,2014-01-02 01:15:17.245878,233.21,2.0,233.27,4.0
43,2014-01-02 01:15:17.745931,233.19,5.0,233.25,1.0
44,2014-01-02 01:15:18.245776,233.19,8.0,233.25,3.0
45,2014-01-02 01:15:18.746051,233.19,3.0,233.24,2.0
46,2014-01-02 01:15:19.246222,233.19,6.0,233.25,3.0
47,2014-01-02 01:15:19.746274,233.2,2.0,233.25,2.0
48,2014-01-02 01:15:20.246362,233.17,6.0,233.25,7.0
49,2014-01-02 01:15:20.746551,233.17,3.0,233.21,1.0
50,2014-01-02 01:15:21.246573,233.17,2.0,233.23,1.0
51,2014-01-02 01:15:21.746686,233.19,1.0,233.24,7.0
52,2014-01-02 01:15:22.243166,233.18,1.0,233.24,11.0
53,2014-01-02 01:15:22.746873,233.19,1.0,233.24,2.0
54,2014-01-02 01:15:23.246885,233.18,1.0,233.24,4.0
55,2014-01-02 01:15:23.747019,233.18,5.0,233.24,2.0
56,2014-01-02 01:15:24.247123,233.18,3.0,233.24,3.0
57,2014-01-02 01:15:24.747259,233.21,2.0,233.27,1.0
58,2014-01-02 01:15:25.245485,233.21,1.0,233.25,2.0
59,2014-01-02 01:15:25.747441,233.18,1.0,233.24,1.0
60,2014-01-02 01:15:26.248222,233.17,2.0,233.24,1.0
61,2014-01-02 01:15:26.747522,233.18,1.0,233.24,3.0
62,2014-01-02 01:15:27.247652,233.19,2.0,233.25,1.0
63,2014-01-02 01:15:27.747719,233.19,3.0,233.24,2.0
64,2014-01-02 01:15:28.247829,233.19,4.0,233.24,3.0
65,2014-01-02 01:15:28.747899,233.2,2.0,233.26,1.0
66,2014-01-02 01:15:29.247820,233.21,1.0,233.25,1.0
67,2014-01-02 01:15:29.748135,233.23,2.0,233.27,2.0
