TIMESTAMP,VOLATILITY,FUTURE,RELATIVE_EXPIRY,DAYS_TO_EXPIRY
2014-01-02 00:00:23.251667,0.129554,233.21,1,19.75
2014-01-02 00:00:23.251681,0.140914,233.35,2,38.75
2014-01-02 00:00:23.251695,0.15041300000000002,232.69,3,59.75
2014-01-02 00:00:23.251709,0.167706,228.59,4,119.75
2014-01-02 00:00:23.251723,0.17491900000000002,227.12,5,183.75
2014-01-02 00:00:23.251737,0.179574,226.92,6,245.75
2014-01-02 00:00:23.251750,0.183,222.02,7,426.75
2014-01-02 00:00:23.251764,0.1849,221.02,8,610.75
2014-01-02 00:00:23.251779,0.185,217.02,9,792.75
2014-01-02 00:00:23.251793,0.185,215.02,10,975.75
2014-01-02 00:00:23.251807,0.185,233.21,11,1157.75
2014-01-02 00:02:23.499252,0.129554,233.21,1,19.75
2014-01-02 00:02:23.499268,0.140914,233.35,2,38.75
2014-01-02 00:02:23.499282,0.15041300000000002,232.69,3,59.75
2014-01-02 00:02:23.499296,0.167706,228.59,4,119.75
2014-01-02 00:02:23.499311,0.17491900000000002,227.12,5,183.75
2014-01-02 00:02:23.499325,0.179574,226.92,6,245.75
2014-01-02 00:02:23.499339,0.183,222.02,7,426.75
2014-01-02 00:02:23.499353,0.1849,221.02,8,610.75
2014-01-02 00:02:23.499367,0.185,217.02,9,792.75
2014-01-02 00:02:23.499380,0.185,215.02,10,975.75
2014-01-02 00:02:23.499394,0.185,233.21,11,1157.75
2014-01-02 00:04:22.745759,0.129554,233.21,1,19.75
2014-01-02 00:04:22.745773,0.140914,233.35,2,38.75
2014-01-02 00:04:22.745787,0.15041300000000002,232.69,3,59.75
2014-01-02 00:04:22.745801,0.167706,228.59,4,119.75
2014-01-02 00:04:22.745815,0.17491900000000002,227.12,5,183.75
2014-01-02 00:04:22.745829,0.179574,226.92,6,245.75
2014-01-02 00:04:22.745843,0.183,222.02,7,426.75
2014-01-02 00:04:22.745857,0.1849,221.02,8,610.75
2014-01-02 00:04:22.745871,0.185,217.02,9,792.75
2014-01-02 00:04:22.745885,0.185,215.02,10,975.75
2014-01-02 00:04:22.745899,0.185,233.21,11,1157.75
2014-01-02 00:06:10.968249,0.130254,233.21,1,19.75
2014-01-02 00:06:12.972371,0.130954,233.21,1,19.75
2014-01-02 00:06:21.990915,0.129554,233.21,1,19.75
2014-01-02 00:06:22.993347,0.140914,233.35,2,38.75
2014-01-02 00:06:22.993361,0.15041300000000002,232.69,3,59.75
2014-01-02 00:06:22.993374,0.167706,228.59,4,119.75
2014-01-02 00:06:22.993388,0.17491900000000002,227.12,5,183.75
2014-01-02 00:06:22.993402,0.179574,226.92,6,245.75
2014-01-02 00:06:22.993416,0.183,222.02,7,426.75
2014-01-02 00:06:22.993429,0.1849,221.02,8,610.75
2014-01-02 00:06:22.993443,0.185,217.02,9,792.75
2014-01-02 00:06:22.993456,0.185,215.02,10,975.75
2014-01-02 00:06:22.993470,0.185,233.21,11,1157.75
2014-01-02 00:08:23.240896,0.129554,233.21,1,19.75
2014-01-02 00:08:23.240910,0.140914,233.35,2,38.75
2014-01-02 00:08:23.240923,0.15041300000000002,232.69,3,59.75
2014-01-02 00:08:23.240937,0.167706,228.59,4,119.75
2014-01-02 00:08:23.240951,0.17491900000000002,227.12,5,183.75
2014-01-02 00:08:23.240964,0.179574,226.92,6,245.75
2014-01-02 00:08:23.240978,0.183,222.02,7,426.75
2014-01-02 00:08:23.240992,0.1849,221.02,8,610.75
2014-01-02 00:08:23.241005,0.185,217.02,9,792.75
2014-01-02 00:08:23.241019,0.185,215.02,10,975.75
2014-01-02 00:08:23.241033,0.185,233.21,11,1157.75
2014-01-02 00:10:23.490531,0.129554,233.21,1,19.75
2014-01-02 00:10:23.490545,0.140914,233.35,2,38.75
2014-01-02 00:10:23.490560,0.15041300000000002,232.69,3,59.75
2014-01-02 00:10:23.490573,0.167706,228.59,4,119.75
2014-01-02 00:10:23.490588,0.17491900000000002,227.12,5,183.75
2014-01-02 00:10:23.490601,0.179574,226.92,6,245.75
2014-01-02 00:10:23.490615,0.183,222.02,7,426.75
2014-01-02 00:10:23.490628,0.1849,221.02,8,610.75
2014-01-02 00:10:23.490642,0.185,217.02,9,792.75
2014-01-02 00:10:23.490656,0.185,215.02,10,975.75
2014-01-02 00:10:23.490670,0.185,233.21,11,1157.75
2014-01-02 00:12:23.738088,0.129554,233.21,1,19.75
2014-01-02 00:12:23.738102,0.140914,233.35,2,38.75
2014-01-02 00:12:23.738116,0.15041300000000002,232.69,3,59.75
2014-01-02 00:12:23.738130,0.167706,228.59,4,119.75
2014-01-02 00:12:23.738144,0.17491900000000002,227.12,5,183.75
2014-01-02 00:12:23.738157,0.179574,226.92,6,245.75
2014-01-02 00:12:23.738172,0.183,222.02,7,426.75
2014-01-02 00:12:23.738185,0.1849,221.02,8,610.75
2014-01-02 00:12:23.738199,0.185,217.02,9,792.75
2014-01-02 00:12:23.738213,0.185,215.02,10,975.75
2014-01-02 00:12:23.738227,0.185,233.21,11,1157.75
2014-01-02 00:14:23.986672,0.129554,233.21,1,19.75
2014-01-02 00:14:23.986686,0.140914,233.35,2,38.75
2014-01-02 00:14:23.986700,0.15041300000000002,232.69,3,59.75
2014-01-02 00:14:23.986714,0.167706,228.59,4,119.75
2014-01-02 00:14:23.986728,0.17491900000000002,227.12,5,183.75
2014-01-02 00:14:23.986741,0.179574,226.92,6,245.75
2014-01-02 00:14:23.986756,0.183,222.02,7,426.75
2014-01-02 00:14:23.986769,0.1849,221.02,8,610.75
2014-01-02 00:14:23.986784,0.185,217.02,9,792.75
2014-01-02 00:14:23.986797,0.185,215.02,10,975.75
2014-01-02 00:14:23.986812,0.185,233.21,11,1157.75
2014-01-02 00:16:24.235254,0.129554,233.21,1,19.75
2014-01-02 00:16:24.235268,0.140914,233.35,2,38.75
2014-01-02 00:16:24.235282,0.15041300000000002,232.69,3,59.75
2014-01-02 00:16:24.235296,0.167706,228.59,4,119.75
2014-01-02 00:16:24.235310,0.17491900000000002,227.12,5,183.75
2014-01-02 00:16:24.235324,0.179574,226.92,6,245.75
2014-01-02 00:16:24.235338,0.183,222.02,7,426.75
2014-01-02 00:16:24.235352,0.1849,221.02,8,610.75
2014-01-02 00:16:24.235366,0.185,217.02,9,792.75
2014-01-02 00:16:24.235380,0.185,215.02,10,975.75
2014-01-02 00:16:24.235394,0.185,233.21,11,1157.75
2014-01-02 00:18:24.483834,0.129554,233.21,1,19.75
2014-01-02 00:18:24.483848,0.140914,233.35,2,38.75
2014-01-02 00:18:24.483862,0.15041300000000002,232.69,3,59.75
2014-01-02 00:18:24.483876,0.167706,228.59,4,119.75
2014-01-02 00:18:24.483890,0.17491900000000002,227.12,5,183.75
2014-01-02 00:18:24.483907,0.179574,226.92,6,245.75
2014-01-02 00:18:24.483921,0.183,222.02,7,426.75
2014-01-02 00:18:24.483935,0.1849,221.02,8,610.75
2014-01-02 00:18:24.483949,0.185,217.02,9,792.75
2014-01-02 00:18:24.483963,0.185,215.02,10,975.75
2014-01-02 00:18:24.483977,0.185,233.21,11,1157.75
2014-01-02 00:20:24.732395,0.129554,233.21,1,19.75
